,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Demanda (t),,,,,,,,,,Demanda  / SKU (t),,,,1.558.996,646.702,2.205.698,1.208.487,1.855.189,3.414.185
,,,,,,,,,,,,,,,,,,,,
,Ano Base,Compensada,Em Aberto,Total Contratada,Projetada,Em aberto + Projetada,DEMANDA TOTAL,,,,SKU,Ano Base,UF,material,Compensada,Em Aberto,Total Contratada,Projetada,Em aberto + Projetada,DEMANDA TOTAL
,,,,,,,,,,,<=2023-ES-PAPEL,<=2023,ES,PAPEL,12.229,92,12.321,483,575,12.804
,,,,,,,,,,,<=2023-CE-PAPEL,<=2023,CE,PAPEL,9.260,92,9.352,421,513,9.772
,,,,,,,,,,,<=2023-SC-PAPEL,<=2023,SC,PAPEL,24.020,92,24.113,1.606,1.698,25.719
,,,,,,,,,,,<=2023-DF-PLÁSTICO,<=2023,DF,PLÁSTICO,9.634,95,9.729,464,558,10.193
,,,,,,,,,,,<=2023-RS-PLÁSTICO,<=2023,RS,PLÁSTICO,18.448,97,18.545,1.000,1.096,19.545
,,,,,,,,,,,2024-RR-VIDRO,2024,RR,VIDRO,0,101,101,21,122,122
,,,,,,,,,,,2025-PI-METAL,2025,PI,METAL,0,101,101,133,234,234
,,,,,,,,,,,2024-PR-PLÁSTICO,2024,PR,PLÁSTICO,11.773,107,11.880,1.563,1.670,13.443
,,,,,,,,,,,2024-BA-VIDRO,2024,BA,VIDRO,1.820,108,1.928,108,216,2.036
,,,,,,,,,,,2025-RO-METAL,2025,RO,METAL,0,109,109,214,323,323
,,,,,,,,,,,>2025-SP-METAL,>2025,SP,METAL,0,111,111,4.762,4.873,4.873
,,,,,,,,,,,>2025-PA-PAPEL,>2025,PA,PAPEL,0,112,112,4.067,4.179,4.179
,,,,,,,,,,,>2025-CE-PAPEL,>2025,CE,PAPEL,0,112,112,3.813,3.925,3.925
,,,,,,,,,,,<=2023-MS-VIDRO,<=2023,MS,VIDRO,5.471,113,5.584,104,218,5.689
,,,,,,,,,,,>2025-MS-PLÁSTICO,>2025,MS,PLÁSTICO,0,118,118,4.211,4.328,4.328
,,,,,,,,,,,<=2023-PE-PAPEL,<=2023,PE,PAPEL,14.428,119,14.547,536,655,15.083
,,,,,,,,,,,2024-PI-METAL,2024,PI,METAL,215,121,336,25,146,361
,,,,,,,,,,,<=2023-MT-PAPEL,<=2023,MT,PAPEL,10.960,123,11.083,1.317,1.440,12.400
,,,,,,,,,,,<=2023-MS-PAPEL,<=2023,MS,PAPEL,16.642,162,16.804,2.556,2.718,19.360
,,,,,,,,,,,2024-RJ-PLÁSTICO,2024,RJ,PLÁSTICO,18.728,127,18.855,1.486,1.612,20.341
,,,,,,,,,,,2025-TO-VIDRO,2025,TO,VIDRO,0,137,137,74,212,212
,,,,,,,,,,,>2025-ES-PLÁSTICO,>2025,ES,PLÁSTICO,0,141,141,4.860,5.001,5.001
,,,,,,,,,,,2025-SE-METAL,2025,SE,METAL,0,142,142,96,238,238
,,,,,,,,,,,<=2023-PR-PLÁSTICO,<=2023,PR,PLÁSTICO,22.974,143,23.116,1.080,1.223,24.196
,,,,,,,,,,,2024-RJ-VIDRO,2024,RJ,VIDRO,10.628,143,10.771,452,595,11.223
,,,,,,,,,,,>2025-PE-PAPEL,>2025,PE,PAPEL,0,144,144,6.756,6.900,6.900
,,,,,,,,,,,2025-AL-METAL,2025,AL,METAL,0,145,145,107,252,252
,,,,,,,,,,,>2025-PA-PLÁSTICO,>2025,PA,PLÁSTICO,0,146,146,5.849,5.995,5.995
,,,,,,,,,,,>2025-PE-PLÁSTICO,>2025,PE,PLÁSTICO,0,148,148,7.128,7.276,7.276
,,,,,,,,,,,2025-RN-METAL,2025,RN,METAL,0,162,162,133,294,294
,,,,,,,,,,,<=2023-DF-PAPEL,<=2023,DF,PAPEL,10.854,163,11.016,762,925,11.778
,,,,,,,,,,,>2025-DF-PAPEL,>2025,DF,PAPEL,0,164,164,5.277,5.440,5.440
,,,,,,,,,,,<=2023-CE-VIDRO,<=2023,CE,VIDRO,642,165,807,18,183,826
,,,,,,,,,,,2025-AL-VIDRO,2025,AL,VIDRO,0,165,165,80,245,245
,,,,,,,,,,,<=2023-MT-PLÁSTICO,<=2023,MT,PLÁSTICO,7.667,166,7.833,576,742,8.409
,,,,,,,,,,,2025-AM-METAL,2025,AM,METAL,3,174,177,733,907,910
,,,,,,,,,,,2025-MA-METAL,2025,MA,METAL,0,176,176,191,366,366
,,,,,,,,,,,>2025-CE-PLÁSTICO,>2025,CE,PLÁSTICO,0,177,177,4.780,4.957,4.957
,,,,,,,,,,,>2025-BA-PAPEL,>2025,BA,PAPEL,0,182,182,7.289,7.472,7.472
,,,,,,,,,,,<=2023-AM-PAPEL,<=2023,AM,PAPEL,4.802,185,4.987,303,488,5.290
,,,,,,,,,,,2025-MS-METAL,2025,MS,METAL,4,187,191,277,465,469
,,,,,,,,,,,<=2023-RN-PLÁSTICO,<=2023,RN,PLÁSTICO,4.003,189,4.192,175,364,4.367
,,,,,,,,,,,2024-RR-PLÁSTICO,2024,RR,PLÁSTICO,333,195,528,49,244,577
,,,,,,,,,,,2025-RO-VIDRO,2025,RO,VIDRO,0,200,200,118,318,318
,,,,,,,,,,,2024-RO-VIDRO,2024,RO,VIDRO,2,200,202,6,206,209
,,,,,,,,,,,>2025-DF-PLÁSTICO,>2025,DF,PLÁSTICO,0,202,202,5.111,5.313,5.313
,,,,,,,,,,,>2025-MT-PAPEL,>2025,MT,PAPEL,0,203,203,6.076,6.279,6.279
,,,,,,,,,,,2025-RN-VIDRO,2025,RN,VIDRO,0,205,205,171,376,376
,,,,,,,,,,,>2025-SP-VIDRO,>2025,SP,VIDRO,0,213,213,10.863,11.075,11.075
,,,,,,,,,,,>2025-ES-PAPEL,>2025,ES,PAPEL,0,213,213,7.047,7.260,7.260
,,,,,,,,,,,2024-SE-METAL,2024,SE,METAL,0,213,213,7,221,221
,,,,,,,,,,,<=2023-PI-VIDRO,<=2023,PI,VIDRO,371,214,585,8,222,593
,,,,,,,,,,,2025-SE-VIDRO,2025,SE,VIDRO,0,216,216,110,325,325
,,,,,,,,,,,<=2023-SC-PLÁSTICO,<=2023,SC,PLÁSTICO,16.036,216,16.253,840,1.057,17.093
,,,,,,,,,,,2024-AP-PLÁSTICO,2024,AP,PLÁSTICO,438,217,655,113,330,768
,,,,,,,,,,,<=2023-RN-PAPEL,<=2023,RN,PAPEL,4.263,226,4.489,198,424,4.687
,,,,,,,,,,,<=2023-CE-METAL,<=2023,CE,METAL,678,227,905,72,299,978
,,,,,,,,,,,<=2023-BA-PLÁSTICO,<=2023,BA,PLÁSTICO,15.960,228,16.188,659,887,16.847
,,,,,,,,,,,>2025-BA-PLÁSTICO,>2025,BA,PLÁSTICO,0,229,229,8.619,8.848,8.848
,,,,,,,,,,,<=2023-TO-VIDRO,<=2023,TO,VIDRO,482,232,714,4,235,717
